^No^Hostname^Role^System Backup^Model^Ser No.^Location^Rack^Virtual^Virtualization^Physical Host^AppName^Landscape^Contacts^
|66 | tnpr3d01  |SAP BI-BW SSP BI/BW SAP DB Server, Websphere Zycus  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |DW-9113-550-SN10-B962F  |SAP Business Datawarehouse BI-BW, Oracle, Websphere   |  || 
|67 | taprvio60  |VIO UNIX Infrastructure Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6C-SN102D67R  |VIOS60  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|68 | taprvio70  |VIO UNIX Infrastructure Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6C-SN102D67R  |VIOS70  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|69 | dggpdb01  |GPDM Central metadata repository Oracle DB  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6C-SN102D67R  |SAP GPDM Central Server, Oracle DB server  |  |TaitiosSapbasis,Scott Ready,TA PDM Core Team,Hadi Muhammed| 
|70 | qggpdb01  |PLM/Atlas Oracle DB Server,SAP Webdispatcher  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6C-SN102D67R  |SAP GPDM/PLT, Oracle DB Server  |  |Hadi Mohammed,Scott Ready,Axel Doer,Paul Caston,Zigor Arosa| 
|71 | pggpdb01  |PLM/Atlas Oracle DB Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6C-SN102D67R  |SAP PLP, Oracle DB Server, SAP Webdispatcher  |  |Scott Ready, Hadi Mohammed, Axell Doerr| 
|72 | sggpdb01  |SAP PLM/Atlas DB Server,Web dispatcher  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6C-SN102D67R  |SAP Oracle DB Server PLS,Central Instance,application server   |  |TaitiosSapbasis,Scott Ready,TA PDM Core Team,hadi Mohammed| 
|73 | taitc102  |Consolidated Oracle DB for TSWB=Supply web,TCIS - EDI Integraton Suite GIS, TCOG-Cognos, TSUP-Tenneco Supplier,Production CTRIX   |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6C-SN102D67R  |Oracle DB for the following TSWB,TSUP,TGIS,TCOG,TSBI,PRODUCTION CITRIX,AUTOSYS  |  || 
|74 | taitc103  |Combined Oracle DB for PSWB=Supply Web,PCIS - EDI GIS,PCOG-Cognos,TSUP - Production CTRIX   |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6C-SN102D67R  |Combined Oracle DB for PSWB,PSUP,PGIS,PCOG,PSBI,CITRIX AUTOSYS  |  || 
|75 | dgasdb01  |ADS development SAP system(part of QIM landscape), oracle DB Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6C-SN102D67R  |SAP DAS Adobe Print Services, Oracle DB server  |  |TaitiosSapbasis,David Morris| 
|76 | pgasdb01  | ADS production SAP system, part of QIM landscape  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6C-SN102D67R  |PAS Production Adobe Print Services  |  |TAITIOSSAPBASIS,David Morris| 
|77 | dgimdb01  |SAP QIM Dev, Oracle DB Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |Server-8205-E6C-SN102D67R  |SAP DIM, Oracle DB Server  |  |TaitiosSapbasis| 
|78 | dggtdb01  |GTS DB Oracle Server and Oracle DB server  |taitc118  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |Server-8205-E6C-SN102D67R  |Global Trading System, Oracle DB  |  |Rick Roeber Lahari Veligeti, Raj palanivel, TaitiosSapbasis| 
|79 | qggtdb01  |SAP GTS Oracle DB Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6C-SN102D67R  |SAP Global Trading System GTS/QGT  |  |Rick Roeber,Lahari Veligeti, Raj palanivel, Paul Caston, TaitiosSapbasis| 
|80 | qgimdb01  |SAP QIM Test oracle DB Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6C-SN102D67R  |SAP QIM  |  | Rick Robber,James Farmer| 
|81 | pgimdb01  |SAP PIM Prod,Oracle DB Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |Server-8205-E6C-SN102D67R  |SAP PIM  |  | Rick Robber,James Farmer| 
|82 | tsdv1d01  |SRM DB/EP/XI Oracle DB/App Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |SRM-GTS-DEV-55A-SN06D309G  |SAP DSR,OLD-DEP,DPI,Oracle DB  |  || 
|83 | taprvio80  |VIOS Server 80  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6D-SN108CCAT  |  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|84 | taprvio81  |VIOS Server 81  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6D-SN108CCAT  |  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|85 | dgaidb01  |Dev DAI Interface for SRM,GTS and SNC,Oracle DB server    |taitc118  |  |  |Lincolnshire  |  |yes  |IBM powervm  |Server-8205-E6D-SN108CCAT  |AEX/DAI Interface for SRM,GTS and SNC, Oracle DB server  |  |TAITIOSSAPBASIS,Rick Roeber, James farmer and Claire Jaques| 
|86 | qgaidb01  |Test QAI Interface for SRM,GTS and SNC  |taitc118  |  |  |Lincolnshire  |  |yes  |powervm  |Server-8205-E6D-SN108CCAT  |AEX/QAI Interface for SRM,GTS and SNC  |  |TAITIOSSAPBASIS,Rick Roeber, James farmer and Claire Jaques| 
|87 | pgaidb01  |production PAI Interface for SRM,GTS and SNC  |taitc118  |  |  |Lincolnshire  |  |yes  |powervm  |Server-8205-E6D-SN108CCAT  |AEX/PAI Interface for SRM,GTS and SNC  |  |TAITIOSSAPBASIS,Rick Roeber, James farmer and Claire Jaques| 
|88 | dgsndb01  |SAP Global SNC, Oracle DB Server  |  |  |  |Lincolnshire  |  |yes  |IBM powervm  |Server-8205-E6D-SN108CCAT  |SAP DSN-Global-SNC, Oracle DB server   |  |TAITIOSSAPBASIS,Rick Roeber, James farmer and Claire Jaques| 
|89 | pggtdb01  |SAP GTS Oracle DB Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |Server-8205-E6D-SN108CCAT  |SAP Global Trading System GTS  |  |Rick Roeber,Lahari Veligeti, Raj palanivel, Paul Caston, TaitiosSapbasis| 
|90 | TEDV2D01  |SAP IT0 ERP SAP Oracle DB and Central Instance Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-9117-MMA-SN109F390  |SAP IT0, Oracle DB server  |  |TAITIOSSAPBASIS, DBA, Paul Burke,Thomas Jacob,Eric Van Asbroeck,Luc Adons,Johnny Bosmans,Henk Kiewiet,David Lei,Sugar Tang,Claudio Baccaro,Eugenia de la Cruz,Edson Martos, Robin Kuhn, Inge Pinnoy, Hilde Gybels, Todd Davis, Andrew Ellwood, Leszek Uchyla, Nicolas DeDobbeleer| 
|91 | xahydb01  |Hyperion DB Dev/Test/Sand Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |5  |Hyperion DHYP,THYP,SHYP  |  |Moon Do,Karina Crockett,Shane Richter,Ami Patel,Ling Gao,Diego Panella,Laura Yu| 
|92 | taitc121  |CUA SAP Security, QCU - Global - CUA / Test/Quality  |taitc118  |  |  |Lincolnshire  |  |yes  |powervm/vmware  |E6D-SN108CCAT  |SAP CUA,Oracle DB Server  |  |  Entitlement Team. Joel Schoofs,  Doug Cutshall, Patricia Hollister| 
|93 | taitc122  |SAP CUA-PCU-Global SAP security  |taitc118  |  |  |Lincolnshire  |  |  |powervm/vmware  |  |  |  |  Entitlement Team. Joel Schoofs,  Doug Cutshall, Patricia Hollister| 
|94 | taitc111  |SAP Solution Manager-TRA SAP DB Server-Sandbox  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |  |SAP Solution Manager TRA-Sandbox, Oracle DB Server  |  |Danny Smeets,Athi,Raoul Serra,Paul Caston| 
|95 | xahydb02  |Hyperion DB Dev/Test/Sand Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |5  |Hyperion DHYP,THYP,SHYP  |  |Moon Do,Karina Crockett,Shane Richter,Ami Patel,Ling Gao,Diego Panella,Laura Yu| 
|96 | pgsndb01  |SAP SNC Oracle DB Server and Central Instance  |  |  |  |Lincolnshire  |  |yes  |IBM powervm  |Server-8205-E6D-SN108CCAT  |Global - SNC / Productionn, Oracle DB Server  |  |TAITIOSSAPBASIS,Rick Roeber, James farmer and Claire Jaques| 
|97 | pagi3p01  |Global GIS EDI App Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |  |EDI GIS  |  | TA EDI -EDI Team, Jarek Grebieszkow| 
